name,url,credit,links_work,updated,best
Ty Dolla $ign,11Kk3Mi8iiFmXEFV8vzcmTrnjcMkfgImABCavXhC4D48,x3mili,1,1,True
Dave Blunts,1FyFFSiTma6zcqtuYaldoZg0HUoEip7xwDSEReL7JmH4,"awsum, HEAT DEATH, nicole, Hauska",1,1,True
Kanye West,12nGHPPh5dVTfLuBLVQYzC3QgPxKfvp-jgCoNccvEasM,"Nicole, Hauska",1,1,True
Kanye West (yetracker.net),yetracker.net,crave,1,1,True
mzyxx,1fbUISzmf3BqhJKwQKl4gegjadO8X6Db77B_TJw1YtsA,xyan,1,1,False
prodbycon,1Na_MW5Ug0NSPeoZgrrBwYYC7JKbBT_gTJlwsapIS6cc,prodbycon,1,1,False
Unc and Phew,1-JdaCDJOSA6NTmClTnnmEMBGTqNgaw-RZiQ7ulABpO8,"xyan, michael",1,1,False
Frank Ocean,franktracker.net,"Infishere, Edideaur",1,1,True
Deftones,deftonestracker.net,"Troabroa, Brimcoole, Edideaur",1,1,True
"Tyler, The Creator",tylertracker.net,"ColbyJackChedda, thainglorious1, Marin, Zulsk ⭐, Uncle Good Touch, Akuma, y7, BrokenStone, Brimcoole, royalty, yatta, yanviktor",1,1,True
"A$AP Rocky",asaprockytracker.net,"KILLRITE, geroerg, Digital Hendryk, maliceeee, taymirrorball_13, justasoul, Shady",1,1,True
